Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
hitung,Chrome 127.0.0.0,,,22-08-2024 17:21:01,22-08-2024 17:27:03,6m - 1.745s,FAILED
,,,,,,,
Test Cases/hitungProperti,Chrome 127.0.0.0,,,22-08-2024 17:21:01,22-08-2024 17:21:40,38.896s,PASSED
"openBrowser(""https://www.btnproperti.co.id/tools/hitung-harga-properti"")",Chrome 127.0.0.0,,,22-08-2024 17:21:02,22-08-2024 17:21:09,6.621s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,22-08-2024 17:21:09,22-08-2024 17:21:09,0.175s,PASSED
"setText(findTestObject(""hitungHarga/penghasilanTotal""), penghasilan)",Chrome 127.0.0.0,,,22-08-2024 17:21:09,22-08-2024 17:21:31,22.474s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:21:31,22-08-2024 17:21:33,1.849s,PASSED
"setText(findTestObject(""hitungHarga/pengeluaran""), pengeluaran)",Chrome 127.0.0.0,,,22-08-2024 17:21:33,22-08-2024 17:21:35,1.843s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:21:35,22-08-2024 17:21:36,0.998s,PASSED
"selectOptionByValue(findTestObject(""hitungHarga/jangkaWaktu""), tahun, false)",Chrome 127.0.0.0,,,22-08-2024 17:21:36,22-08-2024 17:21:37,0.913s,PASSED
"value = getAttribute(findTestObject(""hitungHarga/selectJangkaWaktu""), ""tahun"")",Chrome 127.0.0.0,,,22-08-2024 17:21:37,22-08-2024 17:21:37,0.372s,PASSED
bulanInt = Integer.valueOf(tahun),Chrome 127.0.0.0,,,22-08-2024 17:21:37,22-08-2024 17:21:37,0.007s,PASSED
pengeluaranInt = Integer.valueOf(pengeluaran),Chrome 127.0.0.0,,,22-08-2024 17:21:37,22-08-2024 17:21:37,0.004s,PASSED
penghasilanInt = Integer.valueOf(penghasilan),Chrome 127.0.0.0,,,22-08-2024 17:21:37,22-08-2024 17:21:37,0.005s,PASSED
if (penghasilanInt <= pengeluaranInt),Chrome 127.0.0.0,,,22-08-2024 17:21:37,22-08-2024 17:21:37,0.004s,PASSED
else,Chrome 127.0.0.0,,,22-08-2024 17:21:37,22-08-2024 17:21:38,0.049s,PASSED
println(hitung),Chrome 127.0.0.0,,,22-08-2024 17:21:38,22-08-2024 17:21:38,0.018s,PASSED
"scrollToElement(findTestObject(""hitungHarga/pengeluaran""), 0)",Chrome 127.0.0.0,,,22-08-2024 17:21:38,22-08-2024 17:21:38,0.337s,PASSED
"verifyElementClickable(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:21:38,22-08-2024 17:21:38,0.353s,PASSED
"click(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:21:38,22-08-2024 17:21:39,0.415s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:21:39,22-08-2024 17:21:40,0.912s,PASSED
"harga = getText(findTestObject(""hitungHarga/harga""))",Chrome 127.0.0.0,,,22-08-2024 17:21:40,22-08-2024 17:21:40,0.358s,PASSED
"harga = replace(""Rp "", """").replace(""."", """")",Chrome 127.0.0.0,,,22-08-2024 17:21:40,22-08-2024 17:21:40,0.010s,PASSED
hargaInt = Integer.valueOf(harga),Chrome 127.0.0.0,,,22-08-2024 17:21:40,22-08-2024 17:21:40,0.003s,PASSED
println(hargaInt),Chrome 127.0.0.0,,,22-08-2024 17:21:40,22-08-2024 17:21:40,0.004s,PASSED
assert hitung == hargaInt,Chrome 127.0.0.0,,,22-08-2024 17:21:40,22-08-2024 17:21:40,0.006s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,22-08-2024 17:21:40,22-08-2024 17:21:40,0.352s,PASSED
,,,,,,,
Test Cases/hitungProperti,Chrome 127.0.0.0,,,22-08-2024 17:21:40,22-08-2024 17:22:19,38.594s,PASSED
"openBrowser(""https://www.btnproperti.co.id/tools/hitung-harga-properti"")",Chrome 127.0.0.0,,,22-08-2024 17:21:40,22-08-2024 17:21:44,3.870s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,22-08-2024 17:21:44,22-08-2024 17:21:44,0.126s,PASSED
"setText(findTestObject(""hitungHarga/penghasilanTotal""), penghasilan)",Chrome 127.0.0.0,,,22-08-2024 17:21:44,22-08-2024 17:22:07,23.037s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:22:07,22-08-2024 17:22:09,1.211s,PASSED
"setText(findTestObject(""hitungHarga/pengeluaran""), pengeluaran)",Chrome 127.0.0.0,,,22-08-2024 17:22:09,22-08-2024 17:22:14,4.976s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:22:14,22-08-2024 17:22:15,1.309s,PASSED
"selectOptionByValue(findTestObject(""hitungHarga/jangkaWaktu""), tahun, false)",Chrome 127.0.0.0,,,22-08-2024 17:22:15,22-08-2024 17:22:16,0.724s,PASSED
"value = getAttribute(findTestObject(""hitungHarga/selectJangkaWaktu""), ""tahun"")",Chrome 127.0.0.0,,,22-08-2024 17:22:16,22-08-2024 17:22:16,0.303s,PASSED
bulanInt = Integer.valueOf(tahun),Chrome 127.0.0.0,,,22-08-2024 17:22:16,22-08-2024 17:22:16,0.001s,PASSED
pengeluaranInt = Integer.valueOf(pengeluaran),Chrome 127.0.0.0,,,22-08-2024 17:22:16,22-08-2024 17:22:16,0.001s,PASSED
penghasilanInt = Integer.valueOf(penghasilan),Chrome 127.0.0.0,,,22-08-2024 17:22:16,22-08-2024 17:22:16,0.002s,PASSED
if (penghasilanInt <= pengeluaranInt),Chrome 127.0.0.0,,,22-08-2024 17:22:16,22-08-2024 17:22:16,0.001s,PASSED
else,Chrome 127.0.0.0,,,22-08-2024 17:22:16,22-08-2024 17:22:16,0.004s,PASSED
println(hitung),Chrome 127.0.0.0,,,22-08-2024 17:22:16,22-08-2024 17:22:16,0.001s,PASSED
"scrollToElement(findTestObject(""hitungHarga/pengeluaran""), 0)",Chrome 127.0.0.0,,,22-08-2024 17:22:16,22-08-2024 17:22:16,0.307s,PASSED
"verifyElementClickable(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:22:16,22-08-2024 17:22:17,0.322s,PASSED
"click(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:22:17,22-08-2024 17:22:17,0.388s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:22:17,22-08-2024 17:22:18,1.310s,PASSED
"harga = getText(findTestObject(""hitungHarga/harga""))",Chrome 127.0.0.0,,,22-08-2024 17:22:18,22-08-2024 17:22:19,0.303s,PASSED
"harga = replace(""Rp "", """").replace(""."", """")",Chrome 127.0.0.0,,,22-08-2024 17:22:19,22-08-2024 17:22:19,0.001s,PASSED
hargaInt = Integer.valueOf(harga),Chrome 127.0.0.0,,,22-08-2024 17:22:19,22-08-2024 17:22:19,0.002s,PASSED
println(hargaInt),Chrome 127.0.0.0,,,22-08-2024 17:22:19,22-08-2024 17:22:19,0.001s,PASSED
assert hitung == hargaInt,Chrome 127.0.0.0,,,22-08-2024 17:22:19,22-08-2024 17:22:19,0.001s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,22-08-2024 17:22:19,22-08-2024 17:22:19,0.328s,PASSED
,,,,,,,
Test Cases/hitungProperti,Chrome 127.0.0.0,,,22-08-2024 17:22:19,22-08-2024 17:22:54,35.246s,PASSED
"openBrowser(""https://www.btnproperti.co.id/tools/hitung-harga-properti"")",Chrome 127.0.0.0,,,22-08-2024 17:22:19,22-08-2024 17:22:23,3.783s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,22-08-2024 17:22:23,22-08-2024 17:22:23,0.097s,PASSED
"setText(findTestObject(""hitungHarga/penghasilanTotal""), penghasilan)",Chrome 127.0.0.0,,,22-08-2024 17:22:23,22-08-2024 17:22:45,21.964s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:22:45,22-08-2024 17:22:46,1.215s,PASSED
"setText(findTestObject(""hitungHarga/pengeluaran""), pengeluaran)",Chrome 127.0.0.0,,,22-08-2024 17:22:46,22-08-2024 17:22:49,2.885s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:22:49,22-08-2024 17:22:50,1.020s,PASSED
"selectOptionByValue(findTestObject(""hitungHarga/jangkaWaktu""), tahun, false)",Chrome 127.0.0.0,,,22-08-2024 17:22:50,22-08-2024 17:22:51,0.791s,PASSED
"value = getAttribute(findTestObject(""hitungHarga/selectJangkaWaktu""), ""tahun"")",Chrome 127.0.0.0,,,22-08-2024 17:22:51,22-08-2024 17:22:51,0.470s,PASSED
bulanInt = Integer.valueOf(tahun),Chrome 127.0.0.0,,,22-08-2024 17:22:51,22-08-2024 17:22:51,0.001s,PASSED
pengeluaranInt = Integer.valueOf(pengeluaran),Chrome 127.0.0.0,,,22-08-2024 17:22:51,22-08-2024 17:22:51,0.001s,PASSED
penghasilanInt = Integer.valueOf(penghasilan),Chrome 127.0.0.0,,,22-08-2024 17:22:51,22-08-2024 17:22:51,0.001s,PASSED
if (penghasilanInt <= pengeluaranInt),Chrome 127.0.0.0,,,22-08-2024 17:22:51,22-08-2024 17:22:51,0.000s,PASSED
else,Chrome 127.0.0.0,,,22-08-2024 17:22:51,22-08-2024 17:22:51,0.003s,PASSED
println(hitung),Chrome 127.0.0.0,,,22-08-2024 17:22:51,22-08-2024 17:22:51,0.001s,PASSED
"scrollToElement(findTestObject(""hitungHarga/pengeluaran""), 0)",Chrome 127.0.0.0,,,22-08-2024 17:22:51,22-08-2024 17:22:52,0.292s,PASSED
"verifyElementClickable(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:22:52,22-08-2024 17:22:52,0.299s,PASSED
"click(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:22:52,22-08-2024 17:22:52,0.388s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:22:52,22-08-2024 17:22:54,1.222s,PASSED
"harga = getText(findTestObject(""hitungHarga/harga""))",Chrome 127.0.0.0,,,22-08-2024 17:22:54,22-08-2024 17:22:54,0.496s,PASSED
"harga = replace(""Rp "", """").replace(""."", """")",Chrome 127.0.0.0,,,22-08-2024 17:22:54,22-08-2024 17:22:54,0.001s,PASSED
hargaInt = Integer.valueOf(harga),Chrome 127.0.0.0,,,22-08-2024 17:22:54,22-08-2024 17:22:54,0.001s,PASSED
println(hargaInt),Chrome 127.0.0.0,,,22-08-2024 17:22:54,22-08-2024 17:22:54,0.001s,PASSED
assert hitung == hargaInt,Chrome 127.0.0.0,,,22-08-2024 17:22:54,22-08-2024 17:22:54,0.001s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,22-08-2024 17:22:54,22-08-2024 17:22:54,0.268s,PASSED
,,,,,,,
Test Cases/hitungProperti,Chrome 127.0.0.0,,,22-08-2024 17:22:54,22-08-2024 17:23:28,33.987s,FAILED
"openBrowser(""https://www.btnproperti.co.id/tools/hitung-harga-properti"")",Chrome 127.0.0.0,,,22-08-2024 17:22:54,22-08-2024 17:22:59,4.205s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,22-08-2024 17:22:59,22-08-2024 17:22:59,0.203s,PASSED
"setText(findTestObject(""hitungHarga/penghasilanTotal""), penghasilan)",Chrome 127.0.0.0,,,22-08-2024 17:22:59,22-08-2024 17:23:21,22.180s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:23:21,22-08-2024 17:23:22,1.319s,PASSED
"setText(findTestObject(""hitungHarga/pengeluaran""), pengeluaran)",Chrome 127.0.0.0,,,22-08-2024 17:23:22,22-08-2024 17:23:23,1.053s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:23:23,22-08-2024 17:23:24,0.986s,PASSED
"selectOptionByValue(findTestObject(""hitungHarga/jangkaWaktu""), tahun, false)",Chrome 127.0.0.0,,,22-08-2024 17:23:24,22-08-2024 17:23:26,1.991s,PASSED
"value = getAttribute(findTestObject(""hitungHarga/selectJangkaWaktu""), ""tahun"")",Chrome 127.0.0.0,,,22-08-2024 17:23:26,22-08-2024 17:23:27,0.336s,PASSED
bulanInt = Integer.valueOf(tahun),Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:27,0.002s,PASSED
pengeluaranInt = Integer.valueOf(pengeluaran),Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:27,0.002s,PASSED
penghasilanInt = Integer.valueOf(penghasilan),Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:27,0.001s,PASSED
if (penghasilanInt <= pengeluaranInt),Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:27,0.667s,PASSED
println(hitung),Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:27,0.004s,PASSED
"scrollToElement(findTestObject(""hitungHarga/pengeluaran""), 0)",Chrome 127.0.0.0,,,22-08-2024 17:23:27,22-08-2024 17:23:28,0.311s,PASSED
"verifyElementClickable(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:23:28,22-08-2024 17:23:28,0.682s,FAILED
,,,,,,,
Test Cases/hitungProperti,Chrome 127.0.0.0,,,22-08-2024 17:23:28,22-08-2024 17:24:04,35.670s,PASSED
"openBrowser(""https://www.btnproperti.co.id/tools/hitung-harga-properti"")",Chrome 127.0.0.0,,,22-08-2024 17:23:28,22-08-2024 17:23:33,4.115s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,22-08-2024 17:23:33,22-08-2024 17:23:33,0.115s,PASSED
"setText(findTestObject(""hitungHarga/penghasilanTotal""), penghasilan)",Chrome 127.0.0.0,,,22-08-2024 17:23:33,22-08-2024 17:23:55,22.280s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:23:55,22-08-2024 17:23:56,1.310s,PASSED
"setText(findTestObject(""hitungHarga/pengeluaran""), pengeluaran)",Chrome 127.0.0.0,,,22-08-2024 17:23:56,22-08-2024 17:23:59,2.928s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:23:59,22-08-2024 17:24:00,0.953s,PASSED
"selectOptionByValue(findTestObject(""hitungHarga/jangkaWaktu""), tahun, false)",Chrome 127.0.0.0,,,22-08-2024 17:24:00,22-08-2024 17:24:01,0.786s,PASSED
"value = getAttribute(findTestObject(""hitungHarga/selectJangkaWaktu""), ""tahun"")",Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.300s,PASSED
bulanInt = Integer.valueOf(tahun),Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.001s,PASSED
pengeluaranInt = Integer.valueOf(pengeluaran),Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.000s,PASSED
penghasilanInt = Integer.valueOf(penghasilan),Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.001s,PASSED
if (penghasilanInt <= pengeluaranInt),Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.001s,PASSED
else,Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.002s,PASSED
println(hitung),Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:01,0.001s,PASSED
"scrollToElement(findTestObject(""hitungHarga/pengeluaran""), 0)",Chrome 127.0.0.0,,,22-08-2024 17:24:01,22-08-2024 17:24:02,0.368s,PASSED
"verifyElementClickable(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:24:02,22-08-2024 17:24:02,0.394s,PASSED
"click(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:24:02,22-08-2024 17:24:02,0.369s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:24:02,22-08-2024 17:24:03,0.988s,PASSED
